driver,team,position,status,grid_position,points,dnf_flag
RUS,Mercedes,1.0,finished,1.0,25.0,0
VER,Red Bull Racing,2.0,finished,5.0,18.0,0
ANT,Mercedes,3.0,finished,4.0,15.0,0
PIA,McLaren,4.0,finished,7.0,12.0,0
HAM,Ferrari,5.0,finished,3.0,10.0,0
HAD,Red Bull Racing,6.0,finished,8.0,8.0,0
NOR,McLaren,7.0,finished,6.0,6.0,0
LEC,Ferrari,8.0,finished,2.0,4.0,0
LAW,Racing Bulls,9.0,lapped,9.0,2.0,0
LIN,Racing Bulls,10.0,lapped,10.0,1.0,0
BOR,Audi,11.0,lapped,12.0,0.0,0
HUL,Audi,12.0,lapped,14.0,0.0,0
GAS,Alpine,13.0,lapped,11.0,0.0,0
BEA,Haas F1 Team,14.0,lapped,13.0,0.0,0
COL,Alpine,15.0,lapped,16.0,0.0,0
OCO,Haas F1 Team,16.0,lapped,15.0,0.0,0
ALB,Williams,17.0,lapped,18.0,0.0,0
ALO,Aston Martin,18.0,lapped,21.0,0.0,0
STR,Aston Martin,,retired,22.0,0.0,1
SAI,Williams,,retired,17.0,0.0,1
PER,Cadillac,,retired,19.0,0.0,1
BOT,Cadillac,,retired,20.0,0.0,1
