driver,team,position,status,dnf_flag
ANT,Mercedes,1.0,finished,0
PIA,McLaren,2.0,finished,0
LEC,Ferrari,3.0,finished,0
RUS,Mercedes,4.0,finished,0
NOR,McLaren,5.0,finished,0
HAM,Ferrari,6.0,finished,0
GAS,Alpine,7.0,finished,0
VER,Red Bull Racing,8.0,finished,0
LAW,Racing Bulls,9.0,finished,0
OCO,Haas F1 Team,10.0,finished,0
HUL,Audi,11.0,finished,0
HAD,Red Bull Racing,12.0,finished,0
BOR,Audi,13.0,finished,0
LIN,Racing Bulls,14.0,finished,0
SAI,Williams,15.0,finished,0
COL,Alpine,16.0,finished,0
PER,Cadillac,17.0,finished,0
ALO,Aston Martin,18.0,lapped,0
BOT,Cadillac,19.0,lapped,0
ALB,Williams,20.0,lapped,0
STR,Aston Martin,,retired,1
BEA,Haas F1 Team,,retired,1
