driver,team,position,status,grid_position,points,dnf_flag
ANT,Mercedes,1.0,finished,1.0,25.0,0
LEC,Ferrari,2.0,finished,4.0,18.0,0
VER,Red Bull Racing,3.0,finished,2.0,15.0,0
HAM,Ferrari,4.0,finished,5.0,12.0,0
PIA,McLaren,5.0,finished,6.0,10.0,0
HAD,Red Bull Racing,6.0,finished,21.0,8.0,0
NOR,McLaren,7.0,finished,13.0,6.0,0
BOR,Audi,8.0,finished,8.0,4.0,0
LIN,Racing Bulls,9.0,finished,7.0,2.0,0
COL,Alpine,10.0,finished,11.0,1.0,0
GAS,Alpine,11.0,finished,10.0,0.0,0
LAW,Racing Bulls,12.0,finished,9.0,0.0,0
HUL,Audi,13.0,finished,12.0,0.0,0
BEA,Haas F1 Team,14.0,finished,14.0,0.0,0
ALB,Williams,15.0,finished,15.0,0.0,0
SAI,Williams,16.0,finished,19.0,0.0,0
OCO,Haas F1 Team,17.0,finished,16.0,0.0,0
BOT,Cadillac,18.0,lapped,17.0,0.0,0
ALO,Aston Martin,19.0,lapped,22.0,0.0,0
STR,Aston Martin,,retired,20.0,0.0,1
PER,Cadillac,,retired,18.0,0.0,1
RUS,Mercedes,,retired,3.0,0.0,1
