driver,team,position,status,grid_position,points,dnf_flag
ANT,Mercedes,1.0,finished,2.0,25.0,0
HAM,Ferrari,2.0,finished,5.0,18.0,0
VER,Red Bull Racing,3.0,finished,6.0,15.0,0
LEC,Ferrari,4.0,finished,8.0,12.0,0
HAD,Red Bull Racing,5.0,lapped,7.0,10.0,0
COL,Alpine,6.0,lapped,10.0,8.0,0
LAW,Racing Bulls,7.0,lapped,12.0,6.0,0
GAS,Alpine,8.0,lapped,14.0,4.0,0
SAI,Williams,9.0,lapped,15.0,2.0,0
BEA,Haas F1 Team,10.0,lapped,16.0,1.0,0
PIA,McLaren,11.0,lapped,4.0,0.0,0
HUL,Audi,12.0,lapped,11.0,0.0,0
BOR,Audi,13.0,lapped,13.0,0.0,0
OCO,Haas F1 Team,14.0,lapped,17.0,0.0,0
STR,Aston Martin,15.0,lapped,22.0,0.0,0
BOT,Cadillac,16.0,lapped,21.0,0.0,0
PER,Cadillac,,retired,20.0,0.0,1
NOR,McLaren,,retired,3.0,0.0,1
RUS,Mercedes,,retired,1.0,0.0,1
ALO,Aston Martin,,retired,19.0,0.0,1
ALB,Williams,,retired,18.0,0.0,1
LIN,Racing Bulls,,did not start,9.0,0.0,1
