driver,team,position,status,grid_position,points,dnf_flag
HAM,Ferrari,1.0,finished,2.0,25.0,0
RUS,Mercedes,2.0,finished,1.0,18.0,0
NOR,McLaren,3.0,finished,4.0,15.0,0
VER,Red Bull Racing,4.0,finished,5.0,12.0,0
PIA,McLaren,5.0,finished,7.0,10.0,0
HAD,Red Bull Racing,6.0,lapped,6.0,8.0,0
GAS,Alpine,7.0,lapped,14.0,6.0,0
COL,Alpine,8.0,lapped,13.0,4.0,0
LAW,Racing Bulls,9.0,lapped,8.0,2.0,0
LIN,Racing Bulls,10.0,lapped,11.0,1.0,0
BOR,Audi,11.0,lapped,12.0,0.0,0
SAI,Williams,12.0,lapped,16.0,0.0,0
OCO,Haas F1 Team,13.0,lapped,17.0,0.0,0
PER,Cadillac,14.0,lapped,19.0,0.0,0
LEC,Ferrari,,retired,10.0,0.0,1
ANT,Mercedes,,retired,3.0,0.0,1
BEA,Haas F1 Team,,retired,15.0,0.0,1
ALB,Williams,18.0,lapped,18.0,0.0,0
ALO,Aston Martin,,retired,22.0,0.0,1
HUL,Audi,,retired,9.0,0.0,1
BOT,Cadillac,,retired,20.0,0.0,1
STR,Aston Martin,,retired,21.0,0.0,1
