driver,team,position,status,dnf_flag
PIA,McLaren,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
NOR,McLaren,4.0,finished,0
RUS,Mercedes,5.0,finished,0
ANT,Mercedes,6.0,finished,0
HAM,Ferrari,7.0,finished,0
SAI,Williams,8.0,finished,0
ALB,Williams,9.0,finished,0
HAD,Racing Bulls,10.0,finished,0
ALO,Aston Martin,11.0,finished,0
LAW,Racing Bulls,12.0,finished,0
BEA,Haas F1 Team,13.0,finished,0
OCO,Haas F1 Team,14.0,finished,0
HUL,Kick Sauber,15.0,lapped,0
STR,Aston Martin,16.0,lapped,0
DOO,Alpine,17.0,lapped,0
BOR,Kick Sauber,18.0,lapped,0
TSU,Red Bull Racing,,retired,1
GAS,Alpine,,retired,1
