driver,team,position,status,grid_position,points,dnf_flag
ANT,Mercedes,1.0,finished,1.0,25.0,0
RUS,Mercedes,2.0,finished,2.0,18.0,0
HAM,Ferrari,3.0,finished,3.0,15.0,0
LEC,Ferrari,4.0,finished,4.0,12.0,0
BEA,Haas F1 Team,5.0,finished,10.0,10.0,0
GAS,Alpine,6.0,finished,7.0,8.0,0
LAW,Racing Bulls,7.0,finished,14.0,6.0,0
HAD,Red Bull Racing,8.0,finished,9.0,4.0,0
SAI,Williams,9.0,lapped,17.0,2.0,0
COL,Alpine,10.0,lapped,12.0,1.0,0
HUL,Audi,11.0,lapped,11.0,0.0,0
LIN,Racing Bulls,12.0,lapped,15.0,0.0,0
BOT,Cadillac,13.0,lapped,19.0,0.0,0
OCO,Haas F1 Team,14.0,lapped,13.0,0.0,0
PER,Cadillac,15.0,lapped,21.0,0.0,0
VER,Red Bull Racing,,retired,8.0,0.0,1
ALO,Aston Martin,,retired,18.0,0.0,1
STR,Aston Martin,,retired,20.0,0.0,1
PIA,McLaren,,did not start,5.0,0.0,1
NOR,McLaren,,did not start,6.0,0.0,1
BOR,Audi,,did not start,16.0,0.0,1
ALB,Williams,,did not start,22.0,0.0,1
