driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
ANT,Mercedes,2.0,finished,0
VER,Red Bull Racing,3.0,finished,0
RUS,Mercedes,4.0,finished,0
PIA,McLaren,5.0,finished,0
BEA,Haas F1 Team,6.0,finished,0
LAW,Racing Bulls,7.0,finished,0
HAD,Racing Bulls,8.0,finished,0
HUL,Kick Sauber,9.0,finished,0
GAS,Alpine,10.0,finished,0
ALB,Williams,11.0,finished,0
OCO,Haas F1 Team,12.0,finished,0
SAI,Williams,13.0,finished,0
ALO,Aston Martin,14.0,finished,0
COL,Alpine,15.0,finished,0
STR,Aston Martin,16.0,finished,0
TSU,Red Bull Racing,17.0,finished,0
HAM,Ferrari,,retired,1
LEC,Ferrari,,retired,1
BOR,Kick Sauber,,retired,1
