driver,team,position,status,grid_position,points,dnf_flag
LEC,Ferrari,1.0,finished,2.0,25.0,0
RUS,Mercedes,2.0,finished,4.0,18.0,0
HAM,Ferrari,3.0,finished,3.0,15.0,0
NOR,McLaren,4.0,finished,6.0,12.0,0
HAD,Red Bull Racing,5.0,finished,5.0,10.0,0
LAW,Racing Bulls,6.0,finished,10.0,8.0,0
LIN,Racing Bulls,7.0,finished,9.0,6.0,0
BOR,Audi,8.0,finished,11.0,4.0,0
COL,Alpine,9.0,finished,19.0,2.0,0
GAS,Alpine,10.0,finished,15.0,1.0,0
PIA,McLaren,11.0,finished,8.0,0.0,0
BEA,Haas F1 Team,12.0,finished,13.0,0.0,0
OCO,Haas F1 Team,13.0,finished,17.0,0.0,0
PER,Cadillac,14.0,finished,20.0,0.0,0
ANT,Mercedes,15.0,finished,1.0,0.0,0
BOT,Cadillac,16.0,finished,18.0,0.0,0
SAI,Williams,17.0,lapped,14.0,0.0,0
ALO,Aston Martin,18.0,lapped,21.0,0.0,0
STR,Aston Martin,19.0,lapped,22.0,0.0,0
VER,Red Bull Racing,,retired,7.0,0.0,1
ALB,Williams,,retired,16.0,0.0,1
HUL,Audi,,retired,12.0,0.0,1
